idSekolah,kodeSekolah,komiteId,kepsekId,operatorId,namaSekolah,emailSekolah,status,alamat,kecamatan,kodePos,telpon,nss,instansiPemberiIzin,nomorSuratIzin,tglSuratIzin,akreditasi,angkaAkreditasi,tahuAkreditasi,lembagaMeaungi,subRayon
2356,35-0015,,,,SD NEGERI JEMBAYAT 05,jembayat05@gmail.com,Negeri,Jl. Dukuh Duren Jembayat Kecamatan Margasari,Margasari,52463,85225788994,101032801039,,,,,0,0,,1
2357,35-0016,,,,SD NEGERI JEMBAYAT 06,jembayatnolenam@gmail.com,Negeri,Jln. Parakan Kidang Jatilawang Desa. Jembayat Kec. Margasari,Margasari,52463,0,101032801014,Pemerintah Provinsi JawaTengah,S.R/Kep/PDK 6/1/17,7 April 1964,B,87,2017,Kepala Dinas PDK Tk.I Jawa Tengah,1
2358,35-0017,,,,SD NEGERI KALIGAYAM 01,sdnkaligayam01@gmail.com,Negeri,Jl. Bendungan Mlodok RT 02 RW 03,Margasari,0,52463,101032801017,,,,B,80,2021,,1
2359,35-0018,,,,SD NEGERI KALIGAYAM 02,info.kaligayam.02@gmail.com,Negeri,Jl. Anggrek No. 1 RT 4 RW 1 Kaligayam,Margasari,52463,0,101132801024,,,,B,86,2021,,1
2360,35-0019,,,,SD NEGERI KALISALAK 01,sdnegerikalisalak01@gmail.com,Negeri,"Jl. K Abdul Latif, Desa Kalisalak, Kec. Margasari, Kab. Tegal",Margasari,52463,89652476493,101032801006,,,,B,86,2021,,1
2361,35-0020,,,,SD NEGERI KALISALAK 02,sdnklsalak02@gmail.com,Negeri,"Jalan Kasnawi Abdul Latif, Kalisalak",Margasari,52463,0,101032801028,,,,,0,0,,1
2362,35-0021,,,,SD NEGERI KALISALAK 03,kalisalaksdn@gmail.com,Negeri,Jl. k Abdul Latif,Margasari,52463,85869576538,101032801034,KWK DIKBUD KECAMATAN MARGASARI,01/01/10,,B,88,2020,,1
2363,35-0023,,,,SD NEGERI MARGA AYU,margaayu0@gmail.com,Negeri,,Margasari,52463,82323170858,101032801018,,421.2/025/41/1985,01/08/85,A,91,2018,,1
2364,35-0024,,,,SD NEGERI KARANGDAWA 01,sdnkarangdawa01@gmail.com,Negeri,Jl. Raya Karangdawa,Margasari,524633,85842344232,101032801012,,421.2/025/1985,1 AGUSTUS 1985,A,86,2016,,1
2365,35-0025,,,,SD NEGERI KARANGDAWA 02,sdkarangdawa02kita@gmail.com,Negeri,Jalan Mawar Utara Karangdawa,Margasari,52463,81911632132,101032801029,,,,A,91,2021,,1
2366,35-0026,,,,SD NEGERI KARANGDAWA 03,,Negeri,,Margasari,0,0,0,,,,,0,0,,1
2367,35-0027,,,,SD NEGERI KARANGDAWA 04,sdnegerikarangdawaempat@yahoo.co.id,Negeri,Jalan Mawar Utara Nomor 02 Desa Karangdawa,Margasari,52463,85741111636,101032801042,,,,A,91,2021,,1
2368,35-0028,,,,SD NEGERI MARGASARI 01,sdnegerimargasari1@gmail.com,Negeri,JALAN RAYA MARGASARI KM. 01,Margasari,52463,0,101032811001,,,,B,85,2021,,1
2369,35-0029,,,,SD NEGERI MARGASARI 02,sdn.margasaridua@gmail.com,Negeri,JALAN RAYA LAPANGAN BARAT MARGASARI,Margasari,52463,82219416110,101032801005,DINAS P DAN K PROVINSI DAERAH TINGKAT 1 JAWA TENGAH,421.2/025/41/85,1 AGUSTUS 1985,A,92,2019,,1
2370,35-0031,,,,SD NEGERI MARGASARI 04,margasari4@gmail.com,Negeri,Jl. Lapangan Barat Margasari Desa Margasari Kecamatan Margasari Kabupaten Tegal,Margasari,52463,83839276693,101032801009,DINAS P DAN K PROPINSI DAERAH TINGKAT I JAWA TENGAH,421.2/025/ /41/85,01/08/1985,B,88,2021,DINAS P DAN K PROPINSI DAERAH TINGKAT I JAWA TENGAH,1
2371,35-0032,,,,SD NEGERI MARGASARI 05,sdnmargasari5@gmail.com,Negeri,Jl. Srigunting Margasari Kec.Margasari Kab.Tegal,Margasari,52463,85727137753,101032801027,DINAS PENDIDIKAN DAN KEBUDAYAAN PROVINSI DAERAH TINGKAT I JAWA TENGAH,421.2/025/41/85,1 AGUSTUS 1985,B,83,2021,DINAS PENDIDIKAN DAN KEBUDAYAAN,1
2372,35-0033,,,,SD NEGERI MARGASARI 06,sdnmargasari06@gmail.com,Negeri,Jalan Lugu Margasari,Margasari,52463,85713984763,101032801033,,421.2/025/0/41/85,1/8/1985,A,91,2020,,1
2373,35-0034,,,,SD NEGERI MARGASARI 07,azmirfadli3@gmail.com,Negeri,Jalan Srigunting No 1 Margasari,Margasari,52463,81993117809,101032801046,DINAS PENDIDIKAN DAN KEBUDAYAAN KABUPATEN TEGAL,,1-1-1910,B,0,2018,DINAS PENDIDIKAN DAN KEBUDAYAAN KABUPATEN TEGAL,1
2374,35-0035,,,,SD NEGERI PAKULAUT 01,sdnpakulaut01@yahoo.co.id,Negeri,Jalan Merpati No.01 Desa Pakulaut Rt.03 Rw.01,Margasari,52463,81803957708,101032801003,DINAS PERKIMTARU,421.2/025/41/85,01/01/10,A,91,2018,,1
2375,35-0036,,,,SD NEGERI PAKULAUT 02,sdnpakulaut02@gmail.com,Negeri,Pakulaut,Margasari,52463,85226304791,101032801020,,421.2/3/87,09-04-1987,B,85,2019,,1
2376,35-0037,,,,SD NEGERI PAKULAUT 03,sdnpakulaut03@gmail.com,Negeri,JL. Garuda No. 33,Margasari,52463,82323297190,101032801022,GUBERNUR KEPALA DAERAH TINGKAT I JAWA TENGAH,42102/9/1986,31 OKTOBER 1986,B,89,2020,DINAS P DAN K PROVINSI DATI I JAWA TENGAH,1
2377,35-0038,,,,SD NEGERI PAKULAUT 04,sdnpakulaut@gmail.com,Negeri,,Margasari,52463,83839014653,101032801043,,,,,0,0,,1
2378,35-0041,,,,SD NEGERI PRUPUK SELATAN 01,sdnprusel01@gmail.com,NEGERI,Jalan Raya Prupuk Selatan RT 03 RW 08,Margasari,52463,85643467180,101032801004,,,,A,88,2016,,1
2379,35-0042,,,,SD NEGERI PRUPUK SELATAN 02,sdnprusel002@gmail.com,Negeri,Jl. Tamansari Desa Prupuk Selatan,Margasari,52463,81548068338,101032801021,,,,B,87,2019,,1
2380,35-0043,,,,SD NEGERI PRUPUK SELATAN 03,prupukselatan.03@gmail.com,Negeri,Jl. Raya Prupuk Selatan RT 006 RW 002,Margasari,52463,6283820686781,101032801032,,,,,0,0,,1
2381,35-0044,,,,SD NEGERI PRUPUK SELATAN 04,sdnprusel04@gmail.com,Negeri,Jalan Tamansari - Prupuk Selatan,Margasari,52463,85229552410,101032801040,SDN PRUPUK SELATAN 04,,,B,90,2018,,1
2382,35-0045,,,,SD NEGERI PRUPUK UTARA 01,sdprupukutara01@gmail.com,Negeri,Jl. Raya Prupuk Utara Desa Prupuk Utara Kec.Margasari Kab.Tegal,Margasari,52463,85290441962,101032801011,DINAS PENDIDIKAN DAN KEBUDAYAAN KAB.TEGAL,421/0089/1960,01/01/60,A,93,2018,DINAS PENDIDIKAN DAN KEBUDAYAAN,1
2383,35-0046,,,,SD NEGERI PRUPUK UTARA 02,sdnprupukutara02@yahoo.co.id,Negeri,Jl. Lapangan Bola Prupuk Utara,Margasari,52463,83861108660,101232801036,BUPATI TEGAL,146/11474/2000,21/12/2000,B,85,2021,Dinas Pendidikan dan Kebudayaan,1
2384,35-0048,,,,SD NEGERI WANASARI,wanasarisdnegeri@gmail.com,Negeri,Jl.Sungai Kumisik,Margasari,52463,0,101032801016,,,,B,81,2021,SD NEGERI WANASARI,1
2385,35-0049,,,,SD ISLAM AL FALAH,sdislamalfalahmgs.rizal@gmail.com,Swasta,JALAN KAUMAN 2 NO 1,Margasari,52463,8170189009,0,,,,A,0,2018,,1
2386,35-0050,,,,SD MAARIF MARGA AYU,sdmaarifnu123@gmail.com,Swasta,Jl. H. Usman No. 06 Desa Marga Ayu Kec. Margasari Kab. Tegal,Margasari,52463,85640400759,102032801050,Departemen Pendidikan dan Kebudayaan Kantor Wilayah Provinsi Jawa Tengah Kantor Kabupaten Tegal,1982/103.48/PR/1998,10 Juli 1998,B,81,2021,Lembaga Pendidikan Ma'arif NU Kab. Tegal,1
2387,35-0051,,,,SD NEGERI BALAPULANG KULON 01,blpkln01@gmail.com,Negeri,Jl. Raya Selatan Balapulang,Balapulang,52464,85786224537,10103280401,Dinas P dan K Prop. Dati I Jateng,421.2/025/ /51/85,1 Agustus 1985,A,94,2017,Dinas Pendidikan dan Kebudayaan,2
2388,35-0052,,,,SD NEGERI BALAPULANG KULON 02,mualisaputra6@gmail.com,Negeri,,Balapulang,52464,87749912576,101032804012,Kepala Dinas P dan K Propinsi Daerah Tingkat I Jawa Tengah,421.2/05781/98,15 September 1998,A,88,2016,Dinas Pedidikan dan Kebudayaan,2
2389,35-0053,,,,SD NEGERI BALAPULANG KULON 03,balapulangkulontiga@gmail.com,Negeri,"Jalan Veteran RT 02 RW 1 Balapulang Kulon, Kec. Balapulang Kab. Tegal",Balapulang,52464,87749913679,101032804013,GUBERNUR KEPALA DAERAH TINGKAT 1 JAWA TENGAH,421.2/025/ /51/1985,1 AGUSTUS 1985,A,90,2014,Dinas Pendidikan dan Kebudayaan,2
2390,35-0055,,,,SD NEGERI BALAPULANG KULON 05,sdnbalapulangkulonlima@gmail.com,Negeri,Jalan Raya Selatan Balapulang,Balapulang,52464,283462086,101032804034,,,,A,0,2017,Dinas dikbud dan kebudayaan,2
2391,35-0056,,,,SD NEGERI BALAPULANG KULON 06,balapulangkulon06@gmail.com,Negeri,Jalan Mulia Dukuh Mangir Balapulang Kulon,Balapulang,52464,85747372589,1010332804041,Kepala Dinas P dan K Propinsi Daerah Tingkat I Jawa Tengah,421.2/05781/98,15-9-1998,B,83,2017,Dinas Pendidikan dan Kebudayaan,2
2392,35-0057,,,,SD NEGERI BALAPULANG WETAN 01,sdnegeribalapulangwetan01@gmail.com,Negeri,Jl. Maad RT.005 RW.005 Balapulang Wetan,Balapulang,52464,85786332266,101032804010,Gubernur Kepala Daerah Tingkat I Jawa Tengah,421.2/05781/98,,B,85,2021,Dinas Pendidikan dan Kebudayaan Kabupaten Tegal,2
2393,35-0058,,,,SD NEGERI BALAPULANG WETAN 03,sdnbalapulangwetan03@gmail.com,Negeri,Jl. Raya Timur Balapulang,Balapulang,52464,87725242523,101032804025,GUBERNUR KEPALA DAERAH TINGKAT 1 JATENG,421.2/025/ /51/85,01-08-1985,C,70,2021,Kementerian Pendidikan dan Kebudayaan,2
2394,35-0059,,,,SD NEGERI BALAPULANG WETAN 04,sdnbalapulangwetanempat@gmail.com,Negeri,Jl Raya Timur Balapulang,Balapulang,52464,895384246665,101032804038,Kementerian Pendidikan dan Kebudayaan,421.2/05781/98,15 - 09 - 1998,B,83,2021,Dinas Pendidikan dan Kebudayaan,2
2395,35-0061,,,,SD NEGERI BALAPULANG WETAN 06,hendrosoegiono@gmail.com,Negeri,Jalan Modes Rt 08 / Rw 05 Balapulang Wetan Kecamatan Balapulang,Balapulang,52464,82324802531,101032804045,DINAS P DAN K PROPINSI,421.2/025/ /51/1985,1 AGUSTUS1985,A,96,2021,DINAS PENDIDIKAN DAN KEBUDAYAAN,2
2396,35-0062,,,,SD NEGERI BALAPULANG WETAN 07,sdn_balapulangwetan07@yahoo.com,Negeri,Jl. Raya Balapulang Wetan KM.01,Balapulang,52464,85214959466,101032804052,Gubernur Kepala Daerah Tingkat I Jawa Tengah,421.2/06109/1990,2 April 1990,A,94,2014,Dinas Pendidikan dan Kebudayaan,2
2397,35-0063,,,,SD NEGERI BANJARANYAR 01,sdbanjaranyar01@gmail.com,Negeri,Jl. Raya Barat Banjaranyar Rt 04 Rw 02,Balapulang,52464,0,101032804011,GUBENUR KEPALA DAERAH TINGKAT I JAWA TENGAH,421.2/025/41/1985,1 AGUSTUS 1985,B,83,2016,DINAS P DAN K TINGKAT I JAWA TENGAH,1
2398,35-0064,,,,SD NEGERI BANJARANYAR 02,sdnbanjaranyar02@gmail.com,Negeri,Jln.Raya Utara Banjaranyar Kec. Balapulang Kab. Tegal,Balapulang,52464,0,101032804015,kementrian pendidikan dan kebudayaan,-,-,A,86,2021,kementrian pendidikan dan kebudayaan,1
2399,35-0065,,,,SD NEGERI BANJARANYAR 03,sdbanjaranyar3@gmail.com,Negeri,JL. RAYA UTARA BANJARANYAR,Balapulang,52464,283462936,101032804027,,421.2/025/51/1985,01/01/10,B,84,2017,DINAS PENDIDIKAN DAN KEBUDAYAAN,2
2400,35-0066,,,,SD NEGERI BANJARANYAR 04,sdnbanjaranyarnol4@gmail,Negeri,JL.RAYA UTARA BANJARANYAR,Balapulang,52464,85642539377,101032804046,GUBERNUR,421.2/025/51/1985,1- Agustus 1985,B,84,2021,DINAS PENDIDIKAN DAN KEBUDAYAAN,2
2401,35-0067,,,,SD NEGERI BANJARANYAR 05,sdnbanjaranyarlima@gmail.com,Negeri,Jl. Raya Barat Banjaranyar Rt 004 Rw 002 Desa Banjaranyar Kec. Balapulang,Balapulang,52462,82322814822,1010322804047,GUBERNUR KEPALA DAERAH TINGKAT 1 JAWA TENGAH,,01/08/185,A,92,2017,DINAS PENDIDIKAN DAN KEBUDAYAAN,2
2402,35-0068,,,,SD NEGERI BATUAGUNG 01,sdnbatuagung01@gmail.com,Negeri,Jl. Raya Utara Batuagung,Balapulang,52464,82328941872,101032804005,,,,A,91,2021,DINAS PENDIDIKAN DAN KEBUDAYAAN,2
2403,35-0069,,,,SD NEGERI BATUAGUNG 02,sdnegeribatuagung02@gmail.com,Negeri,Jln. Raya Batuagung 02,Balapulang,52464,0,101032804030,,,,A,91,2021,,2
2404,35-0070,,,,SD NEGERI BUKATEJA 01,,Negeri,"Jl. Timur Desa Bukateja Kecamatan Balapulang. Kab.tegal, Kode Pos 52464 e-mail sdnbukateja001@gmail.com",Balapulang,52464,0,1032804016,,,,,0,0,,2
2405,35-0071,,,,SD NEGERI BUKATEJA 02,sdbukateja@gmail.com,Negeri,Desa Bukateja RT 003 /RW 002,Balapulang,52464,83839006840,101032804049,GUBERNUR SELAKU KEPALA TINGKAT I JAWA TENGAH,421.2/025/51/1985,1 AGUSTUS 1985,B,87,2018,DINAS PENDIDIKAN DAN KEBUDAYAAN,2
2406,35-0072,,,,SD NEGERI CENGGINI 01,sdncenggini@gmail.com,Negeri,Cenggini Balong Ds. Cenggini,Balapulang,52464,82322427144,101032804018,GUBERNUR KEPALA DAERAH TINGKAT I JAWA TENGAH,421.2/025/51/1985,01/08/1985,B,84,2021,DINAS PENDIDIKAN DAN KEBUDAYAAN,2
2407,35-0073,,,,SD NEGERI CENGGINI 02,sdncengginikali22@gmail.com,Negeri,"Jalan Dukuh Grunggang - Cenggini, Kec. Balapulang Kab. Tegal",Balapulang,52464,82248752562,101032804039,,421.2/068/VII/51/1980,01/01/10,B,85,2017,DINAS PENDIDIKAN DAN KEBUDAYAAN,2
2408,35-0074,,,,SD NEGERI CIBUNAR,sdncibunarbalapulang@gmail.com,Negeri,Jln. CIBUNAR KEC. BALAPULANG KAB.TEGAL,Balapulang,52464,85717388990,101032804024,DINAS DIKBUD,,,B,0,2017,,2
2409,35-0075,,,,SD NEGERI CILONGOK 01,sdncilongoksatu@gmail.com,Negeri,Desa Cilongok Rt.01 Rw.03,Balapulang,52464,0,101032804004,,,,,0,0,,2
2410,35-0076,,,,SD NEGERI CILONGOK 02,sdncilongokdua@gmail.com,Negeri,JL. LIMBANGAN DESA CILONGOK RT.02 RW.04 KEC. BALAPULANG KAB. TEGAL,Balapulang,52464,82323650169,101032804033,GUBERNUR KEPALA DAERAH TINGKAT I JAWA TENGAH,421.2/025/51/85,01-08-1985,B,81,2021,DINAS PENDIDIKAN DAN KEBUDAYAAN KABUPATEN TEGAL,2
2411,35-0077,,,,SD NEGERI DANAREJA 01,danarejasatu@gmail.com1,Negeri,Danareja RT.03/02 Kecamatan Balapulang Kabupaten Tegal,Balapulang,52464,81953210504,101032804007,,,,B,0,2017,DINAS PENDIDIKAN DAN KEBUDAYAAN,2
2412,35-0078,,,,SD NEGERI DANAREJA 02,sddanarejadua@gmail.com,Negeri,DANAREJA,Balapulang,52464,0,101032804043,,,,,0,0,,2
2413,35-0079,,,,SD NEGERI DANAWARIH 01,sdndanawarihsatu@gmail.com,Negeri,Jalan Raya Utara Danawarih RT. 006 RW. 001 Kec. Balapulang Kab. Tegal KP. 52464,Balapulang,52464,87864106797,101032804003,Dinas Pendidikan dan Kebudayaan Kabupaten Tegal,421.2/075/1979,01-08-1979,B,78,2021,Kementerian Pendidikan dan Kebuadayaan Republik Indonesia,2
2414,35-0080,,,,SD NEGERI DANAWARIH 02,sdndanawarihdua@gmail.com,Negeri,,Balapulang,52464,87708777877,101032804028,,,,B,81,2021,DINAS PENDIDIKAN DAN KEBUDAYAAN,2
2415,35-0081,,,,SD NEGERI DANAWARIH 03,sdndanawarih3@gmail.com,Negeri,JL. Pramuka No. 752 Danawarih,Balapulang,52464,81215030789,101032804028,Gubernur Kepala Daerah Tingkat I Jateng,421-2/025/51/85,1/08/1985,B,81,2016,Dinas Pendidikan dan Kebudayaan,2
2416,35-0082,,,,SD NEGERI HARJAWINANGUN 01,sdnharjawinangun01@gmail.com,Negeri,Jl. Raya Barat Harjawinangun,Balapulang,52464,85225311690,101032804002,,,,B,86,2021,Dinas Pendidikan dan Kebudayaan,2
2417,35-0083,,,,SD NEGERI HARJAWINANGUN 02,sdnegeriharjawinangun2@gmail.com,Negeri,Jalan Raya Harjawinangun Kecamatan Balapulang Kabupaten Tegal,Balapulang,52464,2834690379,101032804031,Dinas P dan K Propinsi Daerah Tingkat I Jawa Tengah,421.2/025/51/1985,1 Agustus 1985,B,84,2021,Dinas Pendidikan dan Kebudayaan,2
2418,35-0085,,,,SD NEGERI KALIBAKUNG 01,sdnkalibakung1@gmail.com,Negeri,Kalibakung,Balapulang,52464,85229427252,101032804017,,,,B,84,2018,DINAS PENDIDIKAN DAN KEBUDAYAAN,2
2419,35-0086,,,,SD NEGERI KALIBAKUNG 02,sdkalibakung02@gmail.com,Negeri,Jl. Raya Utara Kalibakung,Balapulang,52464,85786701930,101032804026,GUBERNUR DAERAH TINGKAT I JAWA TENGAH,421.2/05781/98,15/09/1998,B,81,2017,DINAS PENDIDIKAN DAN KEBUDAYAAN PROVINSI JAWA TENGAH,2
2420,35-0087,,,,SD NEGERI KALIWUNGU 01,sdnkaliwungusiji@gmail.com,Negeri,Jalan Raya Kaliwungu,Balapulang,52464,85742950059,101032804021,,,,B,86,2021,DINAS PENDIDIKAN DAN KEBUDAYAAN,2
2421,35-0088,,,,SD NEGERI KALIWUNGU 02,sdnkaliwungu72@gmail.com,Negeri,Jl.Raya Kaliwungu,Balapulang,52464,87830377711,101032804029,GUBERNUR KEPALA DAERAH TINGKAT I JAWA TENGAH,421.2/025/ /51/1985,1 AGUSTUS 1985,B,85,2021,DINAS PENDIDIKAN,2
2422,35-0089,,,,SD NEGERI KARANGJAMBU 01,sdn.negeri.karangjambu.1@gmail.com,Negeri,Jalan Raya Timur Karangjambu RT 6 RW 6,Balapulang,52464,85327694756,101032804006,DINAS P DAN K PROVINSI DAERAH TINGKAT I JAWA TENGAH,421.2/025/51/85,1985-08-01,B,83,2016,DINAS P DAN K KAB TEGAL,2
2423,35-0090,,,,SD NEGERI KARANGJAMBU 02,sdnkarangjambu02@gmail.com,Negeri,Jl. Raya Karangjambu Kec. Balapulang Kab. Tegal,Balapulang,52464,895634578345,101032804032,,,,B,81,2021,DINAS PENDIDIKAN DAN KEBUDAYAAN,2
2424,35-0092,,,,SD NEGERI PAGERWANGI,sdnpagerwangi01@gmail.com,Negeri,Jl.Kh.Munawar Pagerwangi,Balapulang,52464,82328922365,101032804020,,,,B,82,2021,Dinas Pendidikan dan Kebudayaan,2
2425,35-0093,,,,SD NEGERI PAMIRITAN 01,sdnpamiritannolsatu@gmail.com,Negeri,Jl. Raya Pamiritan,Balapulang,52464,0,101032804022,,,,B,86,2018,DINAS PENDIDIKAN DAN KEBUDAYAAN,2
2426,35-0094,,,,SD NEGERI PAMIRITAN 02,sdpamiritan11@gmail.com,Negeri,Jl.Pisang Pamiritan,Balapulang,52464,85220646332,101032804042,Gubernur Kepala Daerah Tingkat I Jawa Tengah,421.2/025/51/1985,01/08/83,B,88,2019,Dinas Pendidikan dan kebudayaan,2
2427,35-0095,,,,SD NEGERI SANGKANJAYA,sdnsangkanjayajaya@gmail.com,Negeri,Jl. Desa Sangkanjaya,Balapulang,52464,82325592201,101032408037,,,,,0,0,,2
2428,35-0096,,,,SD NEGERI SESEPAN 01,sdnegerisesepan01@gmail.com,Negeri,JL. KAMA TIMUR DESA SESEPAN,Balapulang,52464,85225242571,101032804019,DINAS P DAN K PROPINSI DAERAH TINGKAT I JAWA TENGAH,421.2/025/ /51/1985,1 AGUSTUS 1985,B,83,2017,DINAS PENDIDIKAN DAN KEBUDAYAAN,2
2429,35-0097,,,,SD NEGERI SESEPAN 02,sdnsesepan2@gmail.com,Negeri,Jl. Kama Barat Sesepan,Balapulang,52464,81902427306,101032804051,GUBERNUR KEPALA DAERAH TINGKAT I JAWA TENGAH,421.2/025/51/1985,1 AGUSTUS 1985,A,90,2016,DINAS PENDIDIKAN DAN KEBUDAYAAN KABUPATEN TEGAL,2
2430,35-0098,,,,SD NEGERI TEMBONGWAH 01,sdnegeritembongwah01@gmail.com,Negeri,Jln. krajan Rt. 03/ Rw. 02 Desa Tembongwah Kec. Balapulang Kab. Tegal KP. 52464,Balapulang,52464,85237069409,101032804014,,421.2/05781/98,1910-01-01,B,88,2018,DINAS PENDIDIKAN DAN KEBUDAYAAN,0
2431,35-0099,,,,SD NEGERI TEMBONGWAH 02,sdnegeritembongwah02@gmail.com,Negeri,Jl.Krajan Desa Tembongwah Rt.03 Rw.02 Kec.Balapulang kab.Tegal,Balapulang,52464,85876401309,1010328004036,Gubernur Kepala Daerah Tingkat 1 Jawa tengah,421.2/068/Vll/51/1980,01/08/1980,B,79,2014,Dinas Pendidikan Dan Kebudayaan Kabupaten Tegal,2
2432,35-0100,,,,SD NEGERI WRINGINJENGGOT 01,sdnjenggotsatu@gmail.com,Negeri,Jl. Pamiritan-Danawarih Desa Wringinjenggot,Balapulang,52464,0,101032804008,GUBERNUR KEPALA DAERAH TINGKAT I JAWA TENGAH,4221.2/025/51/1985,01/08/1985,B,77,2019,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,2
2433,35-0101,,,,SD NEGERI WRINGINJENGGOT 02,sdnwringinjenggotdua@gmail.com,Negeri,Wringinjenggot,Balapulang,52464,0,0,DINAS DIKBUD PROVINSI JAWA TENGAH,421.2/025/51/1987,02 Januari 1987,,0,2017,DINAS DIKBUD KAB TEGAL,2
2434,35-0102,,,,SD NEGERI BATUMIRAH 01,sdnbatumirah01@gmail.com,Negeri,"Jl.Dukuh Mangli,Desa Batumirah",Bumijawa,52466,0,101032802011,Gubernur Kepala Daerah Tingkat 1,421.2/025/ /52/1985,1 Agustus 1985,B,85,2014,Dinas Pendidikan dan Kebudayaan,3
2435,35-0103,,,,SD NEGERI BATUMIRAH 02,sdbatumirah02@gmail.com,Negeri,,Bumijawa,52466,0,101032804020,Gubernur Kepala Daerah TK. I Jawa Tengah,421.2/025/ /52/1985,01-08-1985,B,87,2019,Dinas Pendidikan dan Kebudayaan,3
2436,35-0104,,,,SD NEGERI BEGAWAT 01,sdnbegawat01@gmail.com,Negeri,Dukuh Krajan Desa Begawat RT 04 RW 01 Kec. Bumijawa,Bumijawa,52466,0,101032802007,,,,A,91,2019,Dinas Pendidikan dan Kebudayaan,3
